uid,component_type,discipline,x1,y1,x2,y2,Airflow_m3h,Capacity_m3h,Coating,ContaminatedPath,Diameter_mm,DuctSize_mm,EquipmentType,FluidType,IP_Rating,Insulation,Length_m,Material,Material_Grade,PressureClass,PressureRating_PSI,SectionType,Status,Vendor,VoltageLevel,Voltage_V
CMP-100021,Compressor,Equipment,334.69,594.38,371.47,614.95,,50,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Epsilon,,3300
CMP-100022,Pipe_Segment,Piping,809.33,202.85,838.84,242.44,,,,,150,,,Steam,,Yes,,,,,300,,Tested,,,
CMP-100023,Damper,HVAC,347.8,68.98,379.41,92.24,2500,,,,,200x200,,,,None,,Aluminum,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100024,Storage_Tank,Equipment,385.47,603.61,408.07,623.86,,500,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Delta,,6600
CMP-100025,Flange,Piping,483.91,463.06,507.29,498.52,,,,,100,,,Water,,No,,PVC,,,150,,Procured,Vendor_Beta,,
CMP-100026,Junction_Box,Electrical,239.59,479.24,254.73,513.01,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100027,Damper,HVAC,845.72,104.95,864.05,131.57,5000,,,,,600x400,,,,None,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100028,Switchgear,Electrical,696.6,607.9,718.53,642.34,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100029,Duct,HVAC,144.54,181.88,176.89,214.54,5000,,,,,,,,,None,,Aluminum,,Low,,,Fabricated,Vendor_HVAC_2,,
CMP-100030,Cable_Tray,Electrical,868.47,229.03,893.22,266.32,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100031,Junction_Box,Electrical,46.12,255.29,78.1,280.4,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,MV_11kV,
CMP-100032,Reducer,Piping,142.13,343.19,158.39,367.67,,,,,200,,,Water,,Yes,,PVC,,,300,,Installed,Vendor_Alpha,,
CMP-100033,Pipe_Segment,Piping,874.65,159.55,890.16,178.36,,,,,100,,,Water,,Yes,,Carbon_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100034,Duct,HVAC,856.0,423.06,893.7,447.44,,,,,,400x300,,,,None,,Aluminum,,High,,,Fabricated,Vendor_HVAC_2,,
CMP-100035,I_Beam,Structural,475.36,258.86,511.6,294.42,,,None,,,,,,,,12.0,,A572_G50,,,UC_254x254,Erected,,,
CMP-100036,Diffuser,HVAC,438.39,598.01,468.2,621.07,5000,,,,,200x200,,,,Thermal,,Aluminum,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100037,Bracing,Structural,271.69,437.31,308.69,466.2,,,Galvanized,,,,,,,,12.0,,A36,,,,Inspected,,,
CMP-100038,Junction_Box,Electrical,733.64,85.14,754.18,117.43,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,HV_33kV,
CMP-100039,Platform,Structural,263.82,195.98,281.84,215.79,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,PFC_200,Inspected,,,
CMP-100040,Air_Handler,HVAC,902.46,602.84,924.87,626.86,500,,,,,400x300,,,,Acoustic,,Aluminum,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100041,Pump,Equipment,247.23,623.21,265.08,639.84,,50,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,6600
CMP-100042,Diffuser,HVAC,565.69,573.52,586.33,601.58,5000,,,,,800x600,,,,Acoustic,,,,High,,,Installed,Vendor_HVAC_2,,
CMP-100043,Valve,Piping,235.88,406.39,254.79,431.6,,,,,100,,,,,No,,Alloy_Steel,,,300,,Installed,Vendor_Gamma,,
CMP-100044,Damper,HVAC,402.63,401.19,433.82,438.9,,,,,,200x200,,,,Thermal,,Aluminum,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100045,Cable_Tray,Electrical,558.23,642.6,591.59,672.69,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,,
CMP-100046,I_Beam,Structural,706.8,142.63,734.77,168.69,,,Painted_Epoxy,,,,,,,,12.0,,S355,,,UC_254x254,Fabricated,,,
CMP-100047,Storage_Tank,Equipment,390.48,366.83,422.04,391.84,,250,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100048,Diffuser,HVAC,391.92,151.31,415.96,185.22,1200,,,,,200x200,,,,None,,Aluminum,,Medium,,,Installed,Vendor_HVAC_2,,
CMP-100049,Duct,HVAC,517.03,85.25,556.84,123.07,1200,,,,,200x200,,,,Thermal,,Aluminum,,High,,,Installed,Vendor_HVAC_1,,
CMP-100050,Transformer,Electrical,849.68,375.77,886.66,412.37,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100051,Diffuser,HVAC,798.73,332.58,825.84,355.89,2500,,,,,800x600,,,,Thermal,,Aluminum,,High,,,,Vendor_HVAC_2,,
CMP-100052,Transformer,Electrical,465.8,45.91,493.36,75.66,,,,,,,,,,,,,,,,,Laid,Vendor_Theta,MV_11kV,
CMP-100053,Pump,Equipment,442.54,698.44,466.0,730.76,,500,,,,,Reciprocating,,,,,,,,,,Commissioned,Vendor_Delta,,6600
CMP-100054,Duct,HVAC,231.29,499.08,253.47,519.77,500,,,,,,,,,,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_2,,
CMP-100055,Heat_Exchanger,Equipment,498.05,416.15,532.86,435.4,,100,,,,,,,,,,,,,,,Commissioned,Vendor_Epsilon,,6600
CMP-100056,I_Beam,Structural,829.02,345.68,851.21,374.34,,,Painted_Epoxy,,,,,,,,12.0,,,,,PFC_200,Fabricated,,,
CMP-100057,Junction_Box,Electrical,115.99,286.96,139.96,309.36,,,,,,,,,IP67,,,,,,,,Laid,Vendor_Zeta,LV_415V,
CMP-100058,Diffuser,HVAC,769.56,652.05,803.95,672.8,2500,,,,,400x300,,,,None,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100059,Air_Handler,HVAC,679.12,83.09,701.5,116.78,2500,,,,,400x300,,,,Thermal,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100060,Reducer,Piping,886.6,118.53,925.76,155.03,,,,,250,,,Oil,,,,Alloy_Steel,,,300,,Installed,Vendor_Gamma,,
CMP-100061,I_Beam,Structural,627.35,350.03,657.84,388.61,,,Painted_Epoxy,,,,,,,,12.0,,S355,,,UB_203x133,Fabricated,,,
CMP-100062,Pump,Equipment,871.64,233.06,898.96,250.49,,250,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Delta,,6600
CMP-100063,Cable_Tray,Electrical,770.32,450.96,808.8,472.95,,,,C:/Synthetic/Temp/Config_6.dat,,,,,IP55,,,,,,,,Laid,Vendor_Theta,LV_415V,
CMP-100064,Air_Handler,HVAC,74.5,213.12,113.71,251.85,500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,,,,,Vendor_HVAC_1,,
CMP-100065,Damper,HVAC,751.75,183.1,786.11,217.82,1200,,,,,600x400,,,,Acoustic,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100066,Air_Handler,HVAC,34.2,205.76,52.37,231.28,2500,,,,,200x200,,,,Acoustic,,Galvanized_Steel,,Low,,,Balanced,Vendor_HVAC_1,,
CMP-100067,Reducer,Piping,782.57,318.39,800.27,351.2,,,,,100,,,Gas,,No,,Carbon_Steel,,,-9999,,Tested,,,
CMP-100068,Valve,Piping,407.06,641.66,432.41,677.35,,,,,150,,,,,No,,Carbon_Steel,,,300,,Designed,Vendor_Gamma,,
CMP-100069,Column,Structural,520.73,430.53,549.77,453.77,,,None,,,,,,,,3.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100070,Damper,HVAC,159.26,357.53,195.44,381.28,1200,,,,,200x200,,,,None,,Galvanized_Steel,,High,,,Balanced,,,
CMP-100071,Bracing,Structural,849.38,265.72,868.92,284.3,,,Galvanized,,,,,,,,3.0,,A36,,,PFC_200,Erected,,,
CMP-100072,Column,Structural,353.05,525.12,387.47,554.31,,,Painted_Epoxy,,,,,,,,3.0,,,,,,Erected,,,
CMP-100073,Junction_Box,Electrical,392.77,170.9,420.58,194.53,,,,,,,,,IP65,,,,,,,,Connected,,HV_33kV,
CMP-100074,Cable_Tray,Electrical,26.92,230.99,47.2,249.42,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100075,Air_Handler,HVAC,84.87,623.24,100.93,638.71,5000,,,,,600x400,,,,,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100076,Reducer,Piping,780.04,190.32,809.76,218.42,,,,,100,,,Steam,,,,PVC,,,150,,Installed,Vendor_Gamma,,
CMP-100077,Heat_Exchanger,Equipment,112.52,199.18,131.86,218.0,,500,,,,,Centrifugal,,,,,,,,,,Commissioned,Vendor_Epsilon,,6600
CMP-100078,Column,Structural,415.79,348.24,446.57,383.15,,,,,,,,,,,3.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100079,Reducer,Piping,436.44,408.02,471.24,445.42,,,,,200,,,Water,,No,,Stainless_Steel,,,150,,Procured,,,
CMP-100080,Junction_Box,Electrical,491.66,446.86,515.76,484.81,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100081,Reducer,Piping,275.73,526.61,307.14,564.27,,,,,,,,Water,,No,,PVC,,,300,,Tested,Vendor_Beta,,
CMP-100082,Pump,Equipment,601.42,316.38,625.47,340.44,,500,,,,,Centrifugal,,,,,,,,,,Installed,Vendor_Delta,,415
CMP-100083,Duct,HVAC,615.74,633.47,646.19,663.4,1200,,,,,400x300,,,,None,,Galvanized_Steel,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100084,Platform,Structural,833.58,155.81,865.54,185.07,,,None,,,,,,,,6.0,,A572_G50,,,PFC_200,Erected,,,
CMP-100085,Reducer,Piping,806.71,408.18,824.27,444.33,,,,,,,,Water,,Yes,,PVC,,,300,,Procured,Vendor_Beta,,
CMP-100086,Reducer,Piping,67.93,371.4,88.82,411.26,,,,,50,,,Gas,,Yes,,Carbon_Steel,,,600,,Tested,Vendor_Alpha,,
CMP-100087,Junction_Box,Electrical,573.81,654.1,589.29,674.49,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100088,Valve,Piping,397.84,575.73,424.27,593.5,,,,,250,,,Steam,,Yes,,Carbon_Steel,,,150,,Procured,Vendor_Alpha,,
CMP-100089,Air_Handler,HVAC,80.91,388.24,108.59,427.95,500,,,,,800x600,,,,Acoustic,,Galvanized_Steel,,Medium,,,Fabricated,Vendor_HVAC_2,,
CMP-100090,Pump,Equipment,337.07,256.98,368.14,292.74,,100,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,,,415
CMP-100091,Pump,Equipment,732.0,640.05,754.89,662.8,,50,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Epsilon,,415
CMP-100092,I_Beam,Structural,739.41,325.87,764.41,351.86,,,None,,,,,,,,9.0,,A572_G50,,,UC_254x254,Fabricated,,,
CMP-100093,Cable_Tray,Electrical,407.55,716.57,427.06,738.91,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Theta,MV_11kV,
CMP-100094,Platform,Structural,58.12,629.03,81.93,668.98,,,None,,,,,,,,9.0,,A36,,,,Fabricated,,,
CMP-100095,Compressor,Equipment,51.32,67.06,85.78,91.22,,,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Delta,,3300
CMP-100096,Damper,HVAC,496.51,298.62,527.75,319.86,5000,,,,,400x300,,,,Acoustic,,Aluminum,,Low,,,Balanced,Vendor_HVAC_2,,
CMP-100097,Pump,Equipment,142.16,71.84,161.48,104.67,,250,,,,,Shell_and_Tube,,,,,,,,,,,Vendor_Epsilon,,6600
CMP-100098,Heat_Exchanger,Equipment,734.33,376.13,752.36,396.15,,,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Delta,,3300
CMP-100099,Flange,Piping,378.34,521.85,405.31,547.12,,,,,150,,,Steam,,No,,Carbon_Steel,,,300,,Procured,Vendor_Alpha,,
CMP-100100,Valve,Piping,293.71,133.38,332.08,154.02,,,,,150,,,Water,,No,,PVC,,,600,,Procured,Vendor_Gamma,,
CMP-100101,Heat_Exchanger,Equipment,612.86,524.44,642.99,560.5,,,,,,,Centrifugal,,,,,,,,,,Delivered,Vendor_Epsilon,,6600
CMP-100102,Duct,HVAC,468.23,459.01,490.47,497.93,500,,,,,800x600,,,,Thermal,,Aluminum,,Low,,,Balanced,Vendor_HVAC_2,,
CMP-100103,Platform,Structural,137.69,279.38,166.73,302.36,,,Painted_Epoxy,,,,,,,,,,A572_G50,,,UB_203x133,Erected,,,
CMP-100104,Heat_Exchanger,Equipment,752.13,673.63,785.16,693.38,,250,,,,,Shell_and_Tube,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100105,Air_Handler,HVAC,63.79,216.95,93.73,253.02,500,,,,,600x400,,,,Thermal,,Aluminum,,Medium,,,,Vendor_HVAC_2,,
CMP-100106,Air_Handler,HVAC,86.18,372.98,120.29,394.97,500,,,,,200x200,,,,Acoustic,,Aluminum,,Medium,,,Commissioned,Vendor_HVAC_1,,
CMP-100107,Valve,Piping,662.23,582.78,690.21,601.5,,,,,250,,,Oil,,No,,Stainless_Steel,,,300,,Installed,Vendor_Alpha,,
CMP-100108,Bracing,Structural,626.43,705.93,656.02,740.85,,,None,,,,,,,,6.0,,S355,,,PFC_200,Inspected,,,
CMP-100109,Diffuser,HVAC,153.0,496.51,168.79,535.22,5000,,,,,200x200,,,,None,,Aluminum,,High,,,Installed,Vendor_HVAC_2,,
CMP-100110,Junction_Box,Electrical,302.38,141.23,340.18,164.79,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100111,Bracing,Structural,222.38,701.04,244.82,723.27,,,None,,,,,,,,9.0,,S355,,,UC_254x254,Erected,,,
CMP-100112,Switchgear,Electrical,879.15,583.23,901.41,605.42,,,,,,,,,IP67,,,,,,,,Connected,Vendor_Theta,MV_11kV,
CMP-100113,Air_Handler,HVAC,143.55,450.97,173.22,472.03,500,,,,,400x300,,,,Acoustic,,Galvanized_Steel,,Medium,,,,Vendor_HVAC_1,,
CMP-100114,Junction_Box,Electrical,449.7,159.62,488.8,182.65,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100115,Compressor,Equipment,814.02,143.05,852.01,182.98,,250,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Epsilon,,415
CMP-100116,Platform,Structural,910.19,400.31,937.54,438.77,,,None,,,,,,,,12.0,,A572_G50,,,UB_203x133,Inspected,,,
CMP-100117,Bracing,Structural,531.0,550.1,550.39,586.5,,,Galvanized,,,,,,,,3.0,,A572_G50,,,UB_203x133,Fabricated,,,
CMP-100118,Flange,Piping,365.22,332.71,386.89,355.95,,,,,150,,,Oil,,No,,Carbon_Steel,,,150,,Installed,Vendor_Gamma,,
CMP-100119,Bracing,Structural,573.16,173.39,591.5,192.22,,,None,,,,,,,,12.0,,S355,,,PFC_200,Fabricated,,,
CMP-100120,Duct,HVAC,492.96,389.72,517.0,427.65,1200,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,,Vendor_HVAC_1,,
CMP-100121,Transformer,Electrical,481.92,339.76,498.36,366.32,,,,,,,,,,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100122,Reducer,Piping,330.08,64.63,369.93,102.99,,,,,50,,,Oil,,No,,,,,150,,Tested,Vendor_Gamma,,
CMP-100123,Damper,HVAC,608.18,263.44,627.64,291.87,500,,,,,400x300,,,,Acoustic,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100124,Pipe_Segment,Piping,748.53,313.47,782.68,350.56,,,,,50,,,Water,,Yes,,,,,300,,Procured,Vendor_Alpha,,
CMP-100125,Storage_Tank,Equipment,230.75,661.48,260.15,690.92,,100,,,,,Reciprocating,,,,,,,,,,Installed,Vendor_Delta,,6600
CMP-100126,Junction_Box,Electrical,62.2,261.09,93.28,285.62,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Theta,HV_33kV,
CMP-100127,Heat_Exchanger,Equipment,290.66,515.3,325.8,553.17,,100,,,,,Reciprocating,,,,,,,,,,Ordered,Vendor_Epsilon,,3300
CMP-100128,Valve,Piping,66.38,284.02,96.5,300.01,,,,,250,,,Gas,,Yes,,,,,600,,Designed,Vendor_Alpha,,
CMP-100129,Reducer,Piping,843.0,506.94,875.59,531.86,,,,,200,,,Oil,,No,,PVC,,,600,,Tested,Vendor_Beta,,
CMP-100130,Storage_Tank,Equipment,301.63,52.0,338.23,85.53,,500,,,,,,,,,,,,,,,Commissioned,Vendor_Delta,,415
CMP-100131,Switchgear,Electrical,251.59,595.11,290.75,626.15,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100132,Duct,HVAC,491.55,607.35,508.41,642.8,,,,,,,,,,,,Galvanized_Steel,,High,,,Balanced,,,
CMP-100133,Diffuser,HVAC,613.36,31.01,641.67,56.29,2500,,,,,,,,,Acoustic,,Aluminum,,,,,Fabricated,Vendor_HVAC_1,,
CMP-100134,Storage_Tank,Equipment,753.69,207.13,778.61,231.46,,100,,,,,Shell_and_Tube,,,,,,,,,,Ordered,,,415
CMP-100135,Junction_Box,Electrical,517.43,59.28,532.67,78.56,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100136,Heat_Exchanger,Equipment,831.15,504.6,860.32,526.38,,50,,,,,Shell_and_Tube,,,,,,,,,,,Vendor_Delta,,3300
CMP-100137,Cable_Tray,Electrical,289.35,414.77,318.52,451.01,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Theta,HV_33kV,
CMP-100138,Pipe_Segment,Piping,413.38,607.07,436.89,641.3,,,,C:/Synthetic/Temp/Config_10.dat,150,,,Gas,,No,,Alloy_Steel,,,,,Tested,Vendor_Gamma,,
CMP-100139,Diffuser,HVAC,97.12,453.03,132.07,485.86,1200,,,,,,,,,,,Galvanized_Steel,,Medium,,,Balanced,Vendor_HVAC_1,,
CMP-100140,Pump,Equipment,188.65,334.19,217.52,359.39,,50,,,,,,,,,,,,,,,Ordered,Vendor_Epsilon,,3300
CMP-100141,Valve,Piping,534.76,138.71,559.28,157.18,,,,,100,,,Steam,,Yes,,Alloy_Steel,,,300,,Tested,Vendor_Alpha,,
CMP-100142,Cable_Tray,Electrical,141.94,24.74,166.83,60.78,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,MV_11kV,
CMP-100143,Bracing,Structural,562.89,506.7,589.87,526.14,,,Painted_Epoxy,,,,,,,,6.0,,A572_G50,,,PFC_200,Erected,,,
CMP-100144,I_Beam,Structural,858.86,159.86,898.79,179.36,,,Painted_Epoxy,,,,,,,,6.0,,A36,,,UC_254x254,Fabricated,,,
CMP-100145,Junction_Box,Electrical,145.26,231.98,166.58,250.83,,,,,,,,,,,,,,,,,Connected,Vendor_Theta,MV_11kV,
CMP-100146,Duct,HVAC,731.65,271.67,769.04,300.09,1200,,,,,200x200,,,,None,,Galvanized_Steel,,Medium,,,Commissioned,Vendor_HVAC_2,,
CMP-100147,Cable_Tray,Electrical,29.49,201.12,57.26,229.09,,,,,,,,,IP65,,,,,,,,Energized,Vendor_Zeta,HV_33kV,
CMP-100148,I_Beam,Structural,454.49,226.8,492.5,243.95,,,Painted_Epoxy,,,,,,,,6.0,,S355,,,UC_254x254,Erected,,,
CMP-100149,Switchgear,Electrical,80.46,51.28,113.23,66.84,,,,,,,,,IP55,,,,,,,,Energized,Vendor_Zeta,LV_415V,
CMP-100150,Damper,HVAC,317.89,318.46,344.44,353.4,5000,,,,,400x300,,,,Thermal,,Galvanized_Steel,,High,,,Installed,Vendor_HVAC_1,,
CMP-100151,Duct,HVAC,739.55,395.82,763.69,415.75,2500,,,,,800x600,,,,Thermal,,Galvanized_Steel,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100152,Storage_Tank,Equipment,126.08,233.77,145.66,266.11,,500,,,,,Reciprocating,,,,,,,,,,Delivered,Vendor_Epsilon,,3300
CMP-100153,Column,Structural,188.39,609.39,218.88,646.03,,,Painted_Epoxy,,,,,,,,12.0,,A572_G50,,,UC_254x254,Erected,,,
CMP-100154,Transformer,Electrical,94.4,41.6,128.43,63.9,,,,,,,,,IP65,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100155,Duct,HVAC,261.1,400.17,300.87,428.72,5000,,,,,800x600,,,,Acoustic,,Aluminum,,High,,,Balanced,Vendor_HVAC_1,,
CMP-100156,Cable_Tray,Electrical,718.07,185.86,753.34,215.56,,,,,,,,,IP65,,,,,,,,Laid,Vendor_Zeta,HV_33kV,
CMP-100157,Flange,Piping,499.05,437.8,518.26,477.28,,,,,250,,,Oil,,Yes,,PVC,,,600,,Installed,Vendor_Alpha,,
CMP-100158,Heat_Exchanger,Equipment,151.62,245.47,172.81,281.56,,250,,,,,Centrifugal,,,,,,,,,,Ordered,Vendor_Epsilon,,3300
CMP-100159,Platform,Structural,875.23,249.1,890.29,283.45,,,None,,,,,,,,9.0,,S355,,,PFC_200,Erected,,,
CMP-100160,Compressor,Equipment,261.68,599.84,285.12,629.29,,50,,,,,Reciprocating,,,,,,,,,,Commissioned,,,
CMP-100161,Compressor,Equipment,430.87,714.29,456.56,754.18,,250,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,
CMP-100162,Reducer,Piping,583.04,528.19,616.92,553.92,,,,,,,,Oil,,Yes,,,,,150,,,Vendor_Alpha,,
CMP-100163,Transformer,Electrical,449.93,180.26,467.16,215.41,,,,,,,,,IP55,,,,,,,,Laid,Vendor_Zeta,MV_11kV,
CMP-100164,Pipe_Segment,Piping,569.29,134.88,593.07,155.21,,,,,200,,,Oil,,Yes,,Alloy_Steel,,,150,,Tested,Vendor_Alpha,,
CMP-100165,Storage_Tank,Equipment,600.16,193.72,630.18,226.75,,,,,,,Shell_and_Tube,,,,,,,,,,Delivered,Vendor_Epsilon,,3300
CMP-100166,Valve,Piping,465.4,98.92,492.89,128.77,,,,,150,,,Water,,Yes,,Carbon_Steel,,,600,,,,,
CMP-100167,Column,Structural,55.84,62.33,90.57,90.0,,,None,,,,,,,,3.0,,S355,,,UC_254x254,Erected,,,
CMP-100168,Flange,Piping,91.12,664.65,130.48,683.53,,,,,200,,,,,,,Carbon_Steel,,,150,,Tested,Vendor_Alpha,,
CMP-100169,Column,Structural,127.5,515.53,160.04,534.63,,,Painted_Epoxy,,,,,,,,9.0,,S355,,,PFC_200,Fabricated,,,
CMP-100170,Flange,Piping,746.4,210.39,763.0,243.2,,,,,250,,,Gas,,Yes,,Carbon_Steel,,,300,,Designed,Vendor_Gamma,,
CMP-100171,Pipe_Segment,Piping,792.82,28.6,808.97,52.7,,,,,50,,,Steam,,No,,Stainless_Steel,,,600,,Installed,Vendor_Alpha,,
CMP-100172,Air_Handler,HVAC,127.46,491.33,143.78,511.91,500,,,,,200x200,,,,None,,Aluminum,,Medium,,,Balanced,Vendor_HVAC_2,,
CMP-100173,Damper,HVAC,437.53,434.18,464.86,468.5,5000,,,,,400x300,,,,Acoustic,,Galvanized_Steel,,,,,Commissioned,Vendor_HVAC_2,,
CMP-100174,Valve,Piping,496.83,186.72,524.13,203.22,,,,,,,,Water,,No,,PVC,,,600,,Procured,Vendor_Beta,,
CMP-100175,Pipe_Segment,Piping,411.48,694.95,432.4,716.47,,,,,300,,,Steam,,Yes,,Alloy_Steel,,,300,,Designed,Vendor_Alpha,,
CMP-100176,Junction_Box,Electrical,302.63,104.52,326.59,138.78,,,,,,,,,IP55,,,,,,,,,Vendor_Theta,MV_11kV,
CMP-100177,Duct,HVAC,213.52,619.6,232.23,652.38,2500,,,,,800x600,,,,Thermal,,,,Low,,,Installed,,,
CMP-100178,Valve,Piping,129.31,63.17,163.83,83.73,,,,,300,,,Water,,No,,Alloy_Steel,,,150,,,,,
CMP-100179,Transformer,Electrical,102.78,613.09,138.0,631.15,,,,,,,,,IP67,,,,,,,,Energized,Vendor_Zeta,LV_415V,
